epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.3207,1.53767,3.52306,1.65664,0.0143,0.68651,0.07928,0.03687,1.04008,3.56067,1.42498,8.574e-05,8.574e-05,8.574e-05
2,77.4734,1.1931,2.79524,1.35029,0.02145,0.875,0.33737,0.23936,0.77502,3.1404,1.00597,0.000182092,0.000182092,0.000182092
3,111.236,1.16033,1.99241,1.29118,0.39481,0.58422,0.57894,0.38963,0.67628,2.87626,0.94964,0.000274482,0.000274482,0.000274482
4,144.221,1.1666,1.77394,1.31577,1,0.24695,0.63197,0.46307,0.66435,2.76429,0.91538,0.000362912,0.000362912,0.000362912
5,177.514,1.06858,1.57304,1.28088,1,0.21001,0.63672,0.49803,0.69387,2.70886,0.93869,0.00044738,0.00044738,0.00044738
6,210.537,1.02747,1.47065,1.24486,0.96771,0.25909,0.5868,0.44836,0.74669,2.77257,1.00971,0.000527887,0.000527887,0.000527887
7,245.331,0.95956,1.37912,1.18582,0.97472,0.52873,0.80634,0.62471,0.67599,2.37612,0.95187,0.000604433,0.000604433,0.000604433
8,282.287,0.99525,1.41239,1.19956,0.97723,0.64463,0.78736,0.57472,0.69475,2.48516,0.96915,0.000677017,0.000677017,0.000677017
9,318.59,0.96808,1.37473,1.21332,0.85836,0.51095,0.81596,0.66447,0.73047,2.29023,0.97211,0.000745641,0.000745641,0.000745641
10,354.658,0.92082,1.24948,1.18778,0.91768,0.41957,0.73975,0.62832,0.82387,2.31417,1.04477,0.000810303,0.000810303,0.000810303
