epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.73541,1.52433,3.60849,1.6299,0.0108,0.59127,0.04983,0.02578,0.9589,3.62706,1.39898,8.574e-05,8.574e-05,8.574e-05
2,9.78242,1.34407,2.94431,1.45435,0.02071,0.875,0.35221,0.2189,0.78286,3.20056,0.98263,0.000182092,0.000182092,0.000182092
3,11.9089,1.16626,2.02921,1.33829,0.02021,0.85714,0.57426,0.32652,0.75704,2.98922,0.97259,0.000274482,0.000274482,0.000274482
4,14.3393,1.13537,1.88994,1.29035,0.98797,0.25,0.53679,0.32706,0.78453,2.93861,1.00803,0.000362912,0.000362912,0.000362912
5,18.2995,1.03811,1.66844,1.2504,1,0.42273,0.71202,0.46868,0.67953,2.76222,0.96723,0.00044738,0.00044738,0.00044738
6,20.853,0.99484,1.46442,1.18757,0.98437,0.55805,0.74263,0.51012,0.67961,2.58489,0.95004,0.000527887,0.000527887,0.000527887
7,22.8829,1.05264,1.50837,1.24642,0.8823,0.58936,0.61985,0.40213,0.91271,2.7651,1.12212,0.000604433,0.000604433,0.000604433
8,24.8196,1.02303,1.41234,1.19562,0.964,0.56663,0.70911,0.42136,0.92992,2.66596,1.13699,0.000677017,0.000677017,0.000677017
9,26.8617,0.94528,1.2776,1.1639,0.87445,0.45833,0.5736,0.36842,0.89888,2.6976,1.17882,0.000745641,0.000745641,0.000745641
10,29.0054,0.89303,1.2299,1.12633,0.91784,0.39048,0.67768,0.46503,0.87917,2.73251,1.155,0.000810303,0.000810303,0.000810303
11,31.7542,0.94223,1.25853,1.16501,1,0.25819,0.87237,0.59007,0.68774,2.59402,1.03774,0.000871004,0.000871004,0.000871004
12,35.1659,0.83904,1.14974,1.11383,0.85663,0.54734,0.88841,0.67173,0.69108,2.05806,0.9964,0.000927744,0.000927744,0.000927744
13,36.9934,0.9374,1.29169,1.15939,0.85067,0.64692,0.92171,0.67287,0.64615,1.97513,0.97327,0.000980523,0.000980523,0.000980523
14,39.7978,0.84322,1.16351,1.11155,0.86371,0.68918,0.87931,0.67333,0.62436,1.83791,0.98622,0.00102934,0.00102934,0.00102934
15,41.8013,0.85912,1.16199,1.12198,0.87278,0.75255,0.77315,0.6107,0.6581,1.51684,1.02099,0.00103288,0.00103288,0.00103288
16,43.67,0.85766,1.09642,1.10415,0.79875,0.74755,0.83496,0.67693,0.70357,1.23907,1.00922,0.00100459,0.00100459,0.00100459
17,45.9189,0.86479,1.11132,1.14075,0.86905,0.77976,0.89583,0.71859,0.67584,1.16407,1.01079,0.000976293,0.000976293,0.000976293
18,48.7478,0.78314,1.09972,1.09471,0.89671,0.82976,0.93387,0.76755,0.51643,1.08347,0.93337,0.000947999,0.000947999,0.000947999
19,51.7513,0.80894,1.05076,1.09831,0.97308,0.95238,0.96707,0.79756,0.48404,0.68757,0.89584,0.000919704,0.000919704,0.000919704
20,53.8649,0.80027,1.04498,1.09299,0.95676,0.91238,0.96396,0.79674,0.46467,0.74319,0.8443,0.00089141,0.00089141,0.00089141
21,55.8507,0.78278,1.03051,1.09088,0.9378,0.90697,0.95926,0.78285,0.4713,0.84217,0.84387,0.000863116,0.000863116,0.000863116
22,57.7273,0.74949,0.99264,1.05571,0.9612,0.92006,0.95479,0.75732,0.52421,0.81042,0.86869,0.000834822,0.000834822,0.000834822
23,60.0928,0.76217,0.99368,1.06884,0.95611,0.95855,0.96235,0.82184,0.46984,0.65884,0.85038,0.000806528,0.000806528,0.000806528
24,62.8327,0.76693,0.99822,1.08186,0.95419,0.94638,0.96687,0.85383,0.44719,0.66636,0.84701,0.000778233,0.000778233,0.000778233
25,65.9804,0.69555,0.96103,1.04329,0.95838,0.94815,0.96764,0.84358,0.44534,0.66573,0.84505,0.000749939,0.000749939,0.000749939
26,68.3394,0.73017,0.9574,1.04964,0.95563,0.96429,0.96967,0.84366,0.48138,0.65287,0.84115,0.000721645,0.000721645,0.000721645
27,70.2442,0.69341,0.93248,1.0421,0.95004,0.96692,0.9674,0.8462,0.45364,0.61273,0.83037,0.000693351,0.000693351,0.000693351
28,72.2582,0.79651,1.03037,1.09782,0.94468,0.96429,0.96454,0.83719,0.43543,0.63296,0.83988,0.000665057,0.000665057,0.000665057
29,74.4045,0.76667,0.99079,1.09879,0.96641,0.95232,0.96086,0.85661,0.42261,0.60534,0.82978,0.000636762,0.000636762,0.000636762
30,76.8151,0.71951,0.91815,1.05994,0.9395,0.96496,0.96865,0.88517,0.38156,0.56833,0.81271,0.000608468,0.000608468,0.000608468
31,79.9079,0.67378,0.88112,1.03901,0.94631,0.96043,0.97077,0.86924,0.41324,0.54954,0.8193,0.000580174,0.000580174,0.000580174
32,82.82,0.66784,0.87413,1.01816,0.9673,0.95238,0.97582,0.86967,0.40253,0.55981,0.82147,0.00055188,0.00055188,0.00055188
33,85.2584,0.64298,0.83689,1.01058,0.96551,0.95833,0.9771,0.87376,0.39891,0.56558,0.82008,0.000523586,0.000523586,0.000523586
34,87.3652,0.66568,0.88942,1.02754,0.96493,0.96361,0.98164,0.87463,0.37798,0.54036,0.81622,0.000495291,0.000495291,0.000495291
35,89.2576,0.70432,0.90672,1.05553,0.94202,0.94898,0.97788,0.8926,0.3681,0.52063,0.8094,0.000466997,0.000466997,0.000466997
36,91.2554,0.75413,0.95473,1.07034,0.91692,0.95857,0.97735,0.8841,0.35406,0.52125,0.80223,0.000438703,0.000438703,0.000438703
37,93.4295,0.64768,0.84186,1.03271,0.92142,0.9585,0.97305,0.89557,0.34199,0.52017,0.80029,0.000410409,0.000410409,0.000410409
38,96.5389,0.64555,0.82192,1.01936,0.9421,0.97024,0.97407,0.90031,0.36985,0.50373,0.80997,0.000382115,0.000382115,0.000382115
39,99.3257,0.65174,0.86632,1.03288,0.94321,0.97619,0.97737,0.89827,0.37152,0.49035,0.81476,0.00035382,0.00035382,0.00035382
40,101.345,0.63006,0.79831,0.99861,0.94336,0.97127,0.97954,0.89983,0.36205,0.48779,0.8132,0.000325526,0.000325526,0.000325526
41,105.872,0.59399,0.8627,1.03066,0.95123,0.95847,0.9822,0.90371,0.34968,0.48065,0.81129,0.000297232,0.000297232,0.000297232
42,110.021,0.59269,0.84072,1.01437,0.97608,0.94782,0.98214,0.89631,0.35611,0.53,0.81359,0.000268938,0.000268938,0.000268938
43,113.531,0.53985,0.81519,0.96401,0.97364,0.95238,0.9832,0.90088,0.35012,0.57398,0.81242,0.000240644,0.000240644,0.000240644
44,116.46,0.5249,0.78991,0.95538,0.97404,0.95238,0.98436,0.90764,0.33566,0.50819,0.8093,0.000212349,0.000212349,0.000212349
45,118.403,0.55237,0.80023,0.99316,0.96787,0.96505,0.98421,0.90997,0.33005,0.48321,0.80812,0.000184055,0.000184055,0.000184055
46,120.448,0.53236,0.7961,0.97183,0.97313,0.95883,0.98425,0.92931,0.31192,0.46118,0.80539,0.000155761,0.000155761,0.000155761
47,122.345,0.51067,0.76049,0.95645,0.93983,0.9764,0.98197,0.93415,0.31483,0.46519,0.80517,0.000127467,0.000127467,0.000127467
48,124.259,0.52131,0.73963,0.9639,0.93668,0.97957,0.98243,0.94211,0.31509,0.46196,0.80514,9.91726e-05,9.91726e-05,9.91726e-05
49,127.334,0.50582,0.75495,0.9465,0.9727,0.96263,0.98402,0.94305,0.31806,0.46307,0.80542,7.08784e-05,7.08784e-05,7.08784e-05
50,130.085,0.49822,0.73832,0.95127,0.97012,0.96452,0.98436,0.94442,0.315,0.46054,0.80415,4.25842e-05,4.25842e-05,4.25842e-05
